ticker,risk_tier,risk_label,risk_score,prob_low,prob_medium,prob_high,environmental_score,social_score,governance_score,total_esg_score,esg_rating,controversy_score,carbon_intensity,water_usage_score,country,sector,action,allocation,alert,review,esg_status,fund_eligible,reason,alternative,return_5d,return_20d,return_60d,return_200d,vol_20d,vol_60d,momentum_60d,momentum_200d,rsi_14,macd,max_drawdown,vol_ratio_20d,price_52w_high,price_52w_low,range_52w_pct,latest_price,emb_norm,emb_pc1,emb_pc2,emb_pc3,risk_color,sector_risk_pct,overall_risk_pct,as_of_date
APD,1,Medium,49.851,0.007,0.993,0.0,25.63,57.99,50.31,42.74,BBB,43.34,315.55,56.73,USA,Materials,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.00913,0.07224,0.12634,0.09025,0.014191,0.01622,0.05645,0.08393,49.33,4.29864,-0.31766,1.1703,327.24,130.01,1.5171,292.39,4.594941363832714,-2.094361774021985,-0.1259375339112752,2.291311026595278,#f39c12,0.3,0.8269,2026-04-27
APLAPOLLO.NS,1,Medium,61.609,0.0228,0.9544,0.0228,36.57,40.63,48.14,41.26,BBB,50.84,590.02,69.93,India,India_Materials,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,-0.04813,-0.12525,-0.02942,0.02391,0.024882,0.020136,-0.08166,0.03718,53.92,-51.91233,-0.49324,1.1386,2280.8,104.13,20.9025,1890.6,5.431096774944631,-1.5460996302126244,-1.1298584722564566,1.956134605014749,#f39c12,0.2857,0.9698,2026-04-27
APOLLOHOSP.NS,0,Low,29.654,0.8817,0.1183,0.0,67.22,70.8,52.08,63.75,AA,30.09,93.98,81.18,India,India_Healthcare,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,-0.02947,-0.05768,-0.0016,0.03256,0.015842,0.013606,-0.00597,-0.01382,53.92,-44.6185,-0.39422,0.6602,8001.38,1073.05,6.4567,7326.5,5.068678958621051,0.418533922687441,-0.1084474460212556,0.9272759772040274,#27ae60,0.4,0.2527,2026-04-27
AUROPHARMA.NS,0,Low,24.01,0.9363,0.0604,0.0033,49.13,65.1,67.91,59.55,A,4.03,94.63,9.25,India,India_Healthcare,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.01202,0.08527,0.10154,0.16066,0.015205,0.020068,0.09305,0.15054,53.08,31.1464,-0.64322,0.6972,1563.53,284.79,4.4901,1330.0,3.78856528678577,-1.5081583017586782,0.7936150334833304,-0.8889429299474418,#27ae60,0.1,0.0742,2026-04-27
AUTO.L,0,Low,31.653,0.9249,0.0751,0.0,60.83,58.12,72.73,63.59,AA,36.81,92.26,31.77,UK,UK_Technology,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.04874,-0.05194,-0.20974,-0.42235,0.01731,0.018319,-0.05971,-0.30397,49.25,-6.48686,-0.50752,1.7477,908.26,364.46,1.4921,469.1,22.1540739588727,14.989647350018084,-10.669223740752177,-1.678472639722001,#27ae60,1.0,0.3489,2026-04-27
AV.L,0,Low,26.468,0.9946,0.0054,0.0,48.49,59.61,68.01,57.68,A,14.45,42.87,55.95,UK,UK_Finance,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.04112,-0.01646,-0.09375,0.00061,0.019908,0.01821,-0.03384,-0.05192,49.74,-8.55254,-0.51879,1.3023,692.31,207.13,2.3424,617.8,3.9377666583904296,-0.6942335505754048,-0.0582525337708801,-2.184418233306148,#27ae60,0.5,0.1456,2026-04-27
AVA,1,Medium,45.811,0.0067,0.9933,0.0,36.68,42.47,46.95,41.5,BBB,26.08,316.98,86.75,USA,Utilities,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.02447,0.04487,0.07004,0.14695,0.011176,0.012106,0.02846,0.0872,50.59,0.22857,-0.37174,1.1008,42.58,25.03,0.7012,41.45,4.458036880699951,-2.8280024352029187,-0.0993766859960637,1.6581671867428036,#f39c12,0.4,0.717,2026-04-27
AVB,1,Medium,40.749,0.0441,0.9526,0.0033,28.14,42.55,50.81,39.26,BB,25.63,116.27,43.26,USA,RealEstate,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.04976,-0.04024,-0.07867,-0.15615,0.012109,0.013646,-0.02388,-0.06995,48.46,-1.91895,-0.46911,1.3472,225.25,97.11,1.3195,167.73,3.676933051549198,-2.445748558132969,-0.9979494319721528,-0.3824057127774564,#f39c12,0.9412,0.6071,2026-04-27
AVGO,0,Low,31.174,0.9129,0.0838,0.0033,52.81,62.47,69.0,60.56,AA,30.29,84.56,53.17,USA,Technology,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.13824,-0.03204,0.00659,0.33995,0.027056,0.026159,0.02215,0.02016,51.61,-2.92948,-0.483,1.0175,411.32,14.41,27.5404,333.97,10.299524402418058,3.2883284694187966,6.387001643488484,-2.2273818899511686,#27ae60,0.8621,0.3132,2026-04-27
AXISBANK.NS,1,Medium,39.971,0.1694,0.8306,0.0,51.41,41.4,69.66,53.88,A,52.83,47.48,55.2,India,India_Finance,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.03726,-0.07338,-0.03378,0.02943,0.024631,0.019582,-0.03697,0.03043,50.79,-26.3516,-0.63111,0.7077,1403.0,301.89,3.6474,1250.1,7.0408241846866515,0.0657971306806506,1.3250176830753768,-1.0361801346603734,#f39c12,1.0,0.5824,2026-04-27
AXP,0,Low,27.487,1.0,0.0,0.0,56.39,69.62,69.92,64.42,AA,28.8,39.41,69.79,USA,Finance,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.03533,0.00858,-0.19578,0.04665,0.012002,0.020102,-0.06537,-0.07952,50.63,-4.77398,-0.49638,0.9697,382.83,63.57,5.0221,307.03,3.9309310289764254,-1.412820692241208,-0.3032510104535195,-2.771423308867988,#27ae60,0.5263,0.1621,2026-04-27
AZN.L,0,Low,24.329,0.9479,0.0422,0.01,54.0,84.58,68.27,67.46,AA,15.38,124.35,6.59,UK,UK_Healthcare,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.04587,0.03159,0.0523,0.43576,0.015276,0.016463,0.03775,0.16303,49.98,80.0646,-0.27174,1.0819,15542.0,5315.14,1.9241,14958.0,14.732306419710703,7.941376907246502,1.7007977807175418,6.144118087758275,#27ae60,0.375,0.0797,2026-04-27
BA,1,Medium,48.763,0.0442,0.9492,0.0066,34.28,50.1,40.87,41.0,BBB,41.95,252.58,20.11,USA,Industrial,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.10988,-0.06667,-0.07644,0.06232,0.025301,0.020108,-0.07268,-0.03995,51.18,-4.68543,-0.7792,0.6782,430.3,95.01,3.529,210.0,7.983410585184193,-0.2425355328933013,0.1510509937312454,0.8448526981028893,#f39c12,0.7368,0.794,2026-04-27
BAC,0,Low,30.519,0.963,0.037,0.0,40.88,72.53,73.84,60.26,AA,33.76,29.96,68.55,USA,Finance,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.06458,0.04969,-0.09996,0.13426,0.013667,0.016083,-0.01203,-0.00279,50.53,-0.16492,-0.48947,0.8359,56.93,15.62,2.6455,50.28,4.297627788600602,-1.4165687196692365,0.7255421919499773,-2.6792485205704697,#27ae60,0.7895,0.2885,2026-04-27
BAJFINANCE.NS,0,Low,21.697,0.9795,0.0205,0.0,60.25,58.69,63.93,60.89,AA,2.69,53.93,47.74,India,India_Finance,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.01339,-0.11149,-0.12508,-0.08838,0.029399,0.022757,-0.08586,-0.11148,51.43,-31.53186,-0.62438,0.5938,1094.15,179.16,5.107,855.1,6.684274902887269,-0.7908524013996197,-0.016774670102121,-2.916971592032511,#27ae60,0.1111,0.022,2026-04-27
BANDHANBNK.NS,1,Medium,37.537,0.1664,0.8336,0.0,60.47,48.82,63.36,57.84,A,53.08,28.7,51.95,India,India_Finance,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.00148,-0.19402,0.00989,-0.15672,0.034263,0.026847,-0.06786,-0.08036,51.13,-5.85799,-0.78755,1.2103,607.81,129.13,3.7069,149.13,4.367576426017091,-0.9354710598035608,-1.5926197419306938,-2.2402897287262,#f39c12,0.8889,0.5302,2026-04-27
BARC.L,0,Low,30.114,0.9793,0.0207,0.0,54.15,52.2,67.67,57.62,A,26.78,38.53,58.35,UK,UK_Finance,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.06175,0.00408,-0.16303,0.25272,0.025863,0.023286,-0.08691,-0.00248,50.28,-9.68588,-0.58308,1.6535,501.54,80.09,5.2619,405.8,4.380232485330677,-0.3775894488704592,0.2132219797669043,-2.3973316986063766,#27ae60,0.7,0.272,2026-04-27
BATS.L,1,Medium,42.439,0.113,0.887,0.0,55.27,54.73,49.68,53.43,A,55.72,108.08,35.35,UK,UK_Consumer,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.01977,0.03634,0.09301,0.23325,0.014676,0.015269,0.00784,0.07103,49.08,-13.51493,-0.37413,1.0128,4639.34,2263.74,1.0494,4437.0,5.101969657197132,0.334689116448735,-1.1117105538314307,1.4419327150287895,#f39c12,0.8889,0.6401,2026-04-27
BBOX.L,0,Low,23.062,0.8859,0.1044,0.0096,50.81,60.48,70.06,59.49,A,0.0,110.4,54.21,UK,UK_RealEstate,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,0.02689,-0.09582,-0.08441,-0.02512,0.014695,0.014692,-0.09395,-0.03094,49.31,-4.87086,-0.5033,2.0479,248.49,85.67,1.9006,145.1,10.576428548314704,2.6712857860219543,-2.2577024840774302,-1.065332332707626,#27ae60,0.125,0.0604,2026-04-27
BBY,1,Medium,41.206,0.0522,0.9478,0.0,49.18,60.62,49.0,52.56,A,32.28,296.36,76.72,USA,Consumer,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.00172,-0.01463,-0.09491,-0.01559,0.016918,0.02086,-0.00499,-0.07438,49.95,0.0778,-0.52595,1.516,111.87,39.55,1.8285,64.02,3.667165114939649,-2.1964804290425257,-0.993823517018168,-1.2032893281402,#f39c12,0.85,0.6264,2026-04-27
BHARTIARTL.NS,1,Medium,36.438,0.1792,0.8045,0.0163,54.33,61.9,64.47,59.64,A,45.93,91.83,59.79,India,India_Communications,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,-0.00738,-0.04022,-0.13062,-0.00843,0.015352,0.012618,-0.05369,-0.07233,53.29,-32.74448,-0.33345,1.0192,2162.7,264.01,7.1917,1830.3,8.148496164587488,-0.6338620357463722,0.1792713656679308,-2.0052447707444747,#f39c12,0.6,0.4918,2026-04-27
BHEL.NS,1,Medium,49.534,0.0307,0.9462,0.0231,19.04,28.2,46.2,29.93,B,16.37,352.26,31.82,India,India_Industrial,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,-0.00494,-0.01423,-0.14602,-0.00129,0.025929,0.02753,-0.02617,-0.00454,51.02,-2.89434,-0.73842,0.3246,331.72,19.59,15.9355,253.59,5.529432580603716,-1.4024038112013328,0.0188297560663308,1.5708933858620229,#f39c12,0.6,0.8187,2026-04-27
BIIB,0,Low,31.273,0.9176,0.0824,0.0,62.75,66.82,46.52,59.1,A,31.14,59.17,39.32,USA,Healthcare,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,-0.06376,-0.0671,-0.05586,0.38778,0.019377,0.023229,-0.04569,0.09963,51.47,-2.31484,-0.7266,0.8016,414.71,113.38,2.6577,175.61,4.355036449236857,-1.259924490230588,-0.933020299188132,-2.6457396351398925,#27ae60,0.8421,0.3269,2026-04-27
BIOCON.NS,0,Low,26.399,0.9422,0.0546,0.0032,61.64,73.39,64.36,65.98,AA,18.87,136.0,65.38,India,India_Healthcare,BUY / HOLD,Increase by 10-15%,GREEN,Quarterly,ESG Compliant,Yes - eligible for ESG green funds,"Strong ESG practices, low carbon, no controversies",,-0.08119,-0.12086,-0.1171,-0.04687,0.021986,0.016445,-0.09611,-0.09208,49.97,-8.10023,-0.58846,1.029,478.73,197.01,1.4299,340.05,4.2151496586570625,-0.903324042620536,-0.3012518392037228,-1.7937858813089336,#27ae60,0.2,0.1401,2026-04-27
BKH,1,Medium,56.542,0.0111,0.9856,0.0033,37.3,69.05,55.32,52.23,A,51.04,624.41,52.62,USA,Utilities,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.05599,0.00606,0.03511,0.34419,0.014742,0.012616,0.0167,0.1261,49.13,-0.3096,-0.40454,2.1465,75.76,40.16,0.8866,72.99,4.2938880345234125,-2.7532447342736903,-0.1370401356941419,1.6698008921312577,#f39c12,0.95,0.9396,2026-04-27
BKR,1,Medium,50.74,0.0018,0.9982,0.0,22.48,41.94,44.37,34.88,BB,49.05,145.93,51.81,USA,Energy,HOLD and MONITOR,Reduce by 10-15%,YELLOW,Monthly,Needs Improvement,Conditional,"Average ESG practices, some controversies detected",,0.00939,0.01913,0.22472,0.59312,0.024703,0.022004,0.04434,0.24505,50.15,0.45873,-0.66157,1.4111,65.26,7.91,7.2545,61.25,7.227933787938755,-1.81363677199024,1.5778599005871932,5.145638608453672,#f39c12,0.7647,0.8489,2026-04-27
